Date,Aberdeen Emerging Markets Debt Local Currency Fund,Aberdeen Global - Emerging Markets Local Currency Bond Fund,Allianz Emerging Markets Local Currency Bond,Amonis Government Debt Emerging Markets,Arca Bond Paesi Emergenti Valuta Locale,Arca Cedola 2018 Paesi Emergenti Valuta Locale,Arca Cedola 2018 Paesi Emergenti Valuta Locale II,Arca Cedola 2018 Paesi Emergenti Valuta Locale III,Ashmore Emerging Markets Local Currency Bond Fund,Ashmore SICAV - Emerging Markets Investment Grade Local Currency,Ashmore SICAV - Emerging Markets Local Currency Bond Broad Fund,Ashmore SICAV - Emerging Markets Local Currency Bond Fund,Ashmore SICAV - Local Currency Fund,Asset Holder PCC Ltd - Ashmore Local Currency Debt Portfolio,Avadis Anlagestiftung - Emerging Markets Debt,Aviva Investors Sicav - Emerging Markets Local Currency Bond Fund,BNY Mellon Global Funds plc - Mellon Emerging Markets Debt Local Currency Fund,Baillie Gifford Bond Funds ICVC - Emerging Markets Bond Fund,BankInvest Hoejrentelande Lokalvaluta,Baring Investments Funds - Baring Emerging Market Debt Local Currency Fund,BlackRock Emerging Markets Flexible Dynamic Bond Fund,BlackRock Global Funds - Emerging Markets Local Currency Bond Fund,CGS FMS Global Evolution EM Local Debt,Capital Group Emerging Markets Local Currency Debt Fund,DIAM Emerging Resources Bond Fund ('Lucky Clover'),DUPLICATEOF36_Eaton Vance Int'l (CI) Emerging Markets Local Income Fund,DUPLICATEOF39_DREYFUS EM DLCF,DUPLICATEOF794_Fidelity Funds - Emerging Markets Inflation-linked Bond Fund,DUPLICATEOF7_BlackRock Global Funds Emerging Markets Local Currency Bond Fund,Daiwa Growing Country Select Bond Fund (MD),Dreyfus Emerging Markets Debt Local Currency Fund,ERSTE Bond Local Emerging,ESPA Bond Local Emerging,ETFS Lombard Odier IM Emerging Market Local Government Bond Fundamental GO UCITS ETF,Eaton Vance Currency Income Advantage Fund,Eaton Vance Emerging Markets Local Income Fund,Eaton Vance International Cayman Islands Emerging Markets Local Income Fund,Erste Bond Local Emerging,Eurizon EasyFund - Bond Emerging Markets in Local Currencies,Fidelity Funds - Emerging Markets Local Currency Debt,First Trust Emerging Markets Local Currency Bond ETF,Goldman Sachs Local Emerging Markets Debt Fund,HSBC Emerging Local Currency Bond Open (MD),HSBC Emerging Markets Local Debt Fund,HSBC Global Investment Funds - GEM Inflation Linked Bond,HSBC Global Investment Funds - Global Emerging Markets Local Debt Fund,Hartford Emerging Markets Local Debt Fund,INVESCO Funds SICAV - Emerging Local Currencies Debt Fund,ISI Emerging Market Local Currency Bonds,Investec Fund Series III - Investec Emerging Markets Local Currency Debt,Investec Global Strategy Fund - Emerging Markets Local Currency Dynamic Debt,Investec Global Strategy Fund Limited - Emerging Markets Local Crncy Debt Fund,JPMorgan Funds - Emerging Markets Local Currency Debt,Julius Baer Multibond - Local Emerging Bond Fund,Jyske Invest - JI Nye Obligationsmarkeder Valuta,KBC Participation Local Emerging Market Bonds,LGT Lux I Bond Fund EMMA Inflation Linked,LO Funds - Emerging Local Currency Bond Fundamental,LYXOR Emerging Markets Local Currency Bond DR UCITS ETF,Lord Abbett Emerging Markets Local Bond Fund,MFS Emerging Markets Debt Local Currency Fund,MFS Meridian Funds - Emerging Market Debt Local Currency Fund,Morgan Stanley Emerging Markets Domestic Debt Fund Inc,Morgan Stanley Investment Funds - Emerging Markets Domestic Debt Fund,NN L Emerging Markets Debt Local Bond,Natixis International Funds Lux I - Loomis Sayles Emerging Debt and Currencies,Neuberger Berman Emerging Markets Debt - Local Currency Fund,Nikko DC Foreign Emerging Markets Bond Index Fund (YD),Nikko High Yield Growth Currency Fund (MD),Nomura Emerging Bond Premium,Nordea 1 SICAV - Emerging Market Local Debt Fund,Nordea 1 SICAV Emerging Market Local Debt Fund Plus,Okasan Emerging Country Bond Open (MD),Old Mutual (IE) Local Currency Emerging Market Debt Fund,Old Mutual Global Investors Series PLC - Local Currency Emerging Market Debt Fund,Oppenheimer Emerging Markets Local Debt Fund,PHARUS Multi Start Sicav Emerging Local Currency Debt,PIMCO EM Advantage Local Bond Index Source UCITS ETF,PIMCO Emerging Local Bond Fund,PIMCO Funds Global Investors Series PLC - Emerging Local Bond Fund,Parvest Bond World Emerging Local,Payden Emerging Markets Local Bond Fund,Pictet - Emerging Local Currency Debt,Pictet Resource-Rich Countries Sovereign Fund (MD),PineBridge Global Emerging Markets Local Currency Bond Fund,Pioneer Funds - Emerging Markets Bond Local Currencies,Prudential Emerging Markets Debt Local Currency Fund,SPDR Barclays Emerging Market Inflation Linked Bond UCITS ETF,SPDR Barclays Emerging Markets Local Bond UCITS ETF,SPDR Bloomberg Barclays Emerging Markets Local Bond ETF,Schroder ISF Emerging Market Local Currency Bond,Schroder International Selection Fund - Emerging Market Local Currency Bond,Shinsei Emerging Currency Bond Fund (MD),Shinsei Emerging Currency Bond Fund (YD),Standard Life Investments Global SICAV - Emerging Market Local Currency Debt,Stone Harbor Local Market Fund,T Rowe Price Emerging Markets Local Currency Bond Fund,T Rowe Price Funds SICAV - Emerging Local Markets Bond,TCW Emerging Markets Local Currency Income Fund,TCW Funds - Emerging Markets Income Fund,TCW Funds - Emerging Markets Local Currency Income Fund,Threadneedle Specialist Investment Funds ICVC - Emerging Market Local Fund,UBAM - Local Currency Emerging Market Bond,UBS (Lux) Bond Sicav - Emerging Economies Local Currency Bond,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,Vontobel Fund - Emerging Markets Local Currency Bond,Voya Emerging Markets Local Currency Debt Fund,WisdomTree Emerging Markets Local Debt Fund,eMAXIS Emerging Markets Bond Index Fund,iShares EM Local Govt Bond UCITS ETF,iShares Emerging Markets Local Currency Bond ETF,iShares Emerging Markets Local Government Bond UCITS ETF
2012-01-01,8.740000,10.301300,,,6.678290,,,,9.250000,88.900000,,108.130000,102.710000,26.872600,,17.514530,1.192300,2.455070,18.092320,11.270000,10.320000,24.180000,119.763360,10.220000,108.364720,8.600000,,13.180320,24.780000,101.506690,13.160000,,,,,9.420000,9.330000,150.502520,,,,8.640000,62.488630,9.080000,90.164000,13.536000,8.790000,10.142700,19.336320,2.825430,19.160000,24.980000,17.080000,124.590000,20.610960,,,10.503400,,,9.290000,13.060000,15.930000,33.970000,5568.400000,144.690000,,116.586570,107.585400,,,,66.671000,9.810000,,9.730000,,97.530000,10.050000,12.610000,150.980000,9.490000,174.630000,84.504480,117.423698,6.544800,8.770000,,92.757130,29.117300,,,72.412000,129.899990,,10.130000,8.890000,12.400000,9.360000,,,1.832390,118.630000,,24.348400,98.280000,,48.784000,120.496170,86.926490,48.228200,86.961600
2012-01-02,8.740000,10.310000,,,6.662570,,,,9.250000,88.900000,,108.130000,102.710000,26.872600,,17.543420,1.192300,2.455070,18.092320,11.270000,10.320000,24.170000,119.181320,10.220000,108.364720,8.600000,,13.203570,24.780000,101.506690,13.160000,,,,,9.420000,9.330000,149.920680,,,,8.640000,62.488630,9.080000,90.164000,13.536000,8.790000,10.142700,19.294540,2.825430,19.160000,24.980000,17.050000,124.500000,20.567180,,,10.502500,,,9.290000,13.060000,15.930000,33.930000,5570.830000,144.490000,,116.586570,107.585400,,,,66.671000,9.810000,,9.730000,,97.530000,10.050000,12.610000,151.130000,9.490000,174.630000,84.504480,117.423698,6.531950,8.770000,,92.757130,29.117300,,,72.412000,129.899990,,10.130000,8.890000,12.380000,9.360000,,,1.832390,118.630000,,24.348400,98.360000,,48.784000,120.496170,86.926490,48.228200,86.961600
2012-01-03,8.840000,10.359300,,,6.730670,,,,9.360000,89.980000,,109.120000,103.500000,26.872600,,17.660780,1.201100,2.436390,18.092320,11.280000,10.360000,24.330000,121.381790,10.290000,108.364720,8.690000,,13.336080,24.940000,101.506690,13.320000,,,,,9.520000,9.440000,151.616330,,,,8.720000,62.488630,9.170000,91.300000,13.621000,8.850000,10.140800,19.403860,2.838860,19.310000,25.190000,17.190000,125.590000,20.800960,,,10.550500,,,9.370000,13.160000,16.170000,34.240000,5601.260000,145.120000,,116.586570,107.585400,,,,66.671000,9.860000,,9.800000,,98.420000,10.160000,12.720000,152.830000,9.560000,177.800000,84.504480,118.239502,6.604100,8.850000,,93.129630,29.286600,,,72.412000,129.899990,,10.230000,8.970000,12.480000,9.440000,,,1.834420,119.220000,,24.524500,98.800000,,49.140600,120.496170,87.891840,48.497900,87.791800
2012-01-04,8.790000,10.353800,,,6.715350,,,,9.330000,89.480000,,108.640000,102.950000,26.872600,,17.673270,1.201400,2.433750,18.092320,11.250000,10.340000,24.240000,119.811540,10.260000,109.140700,8.660000,,13.355570,24.850000,101.721220,13.240000,,,,,9.490000,9.400000,150.098000,,,,8.670000,62.720040,9.120000,91.533000,13.608000,8.810000,10.139700,19.340320,2.837650,19.180000,25.030000,17.160000,125.160000,20.699760,,,10.547000,,,9.320000,13.110000,16.090000,34.200000,5563.000000,144.500000,,116.638410,108.254010,,,,66.801410,9.870000,,9.780000,,98.280000,10.100000,12.640000,152.340000,9.510000,175.270000,85.121920,117.390404,6.594880,8.810000,,92.660690,29.181300,,,72.395360,129.886560,,10.190000,8.920000,12.450000,9.460000,,,1.833830,118.700000,,24.382900,98.480000,,49.027800,120.758900,87.293930,48.343100,87.477630
2012-01-05,8.750000,10.286500,,,6.516490,,,,9.280000,89.060000,,108.220000,102.550000,26.872600,,17.483600,1.193400,2.409320,18.092320,11.150000,10.310000,24.090000,118.149030,10.250000,108.035250,8.620000,,13.281210,24.690000,100.959050,13.170000,,,,,9.450000,9.370000,149.125730,,,,8.630000,62.221360,9.080000,91.317000,13.540000,8.780000,10.076500,19.230880,2.801010,19.090000,24.920000,17.060000,124.870000,20.588720,,,10.541800,,,9.280000,13.050000,16.010000,33.960000,5549.060000,144.080000,,115.396580,107.827890,,,,66.277860,9.810000,,9.740000,,98.020000,10.050000,12.600000,152.259990,9.470000,174.730000,84.421980,116.922401,6.556160,8.760000,,92.382500,29.106000,,,71.837740,128.900980,,10.140000,8.870000,12.370000,9.440000,,,1.814810,118.000000,,24.310700,98.240000,,48.908300,119.647490,86.930290,48.173000,86.862460
2012-01-06,8.760000,10.306600,,,6.516490,,,,9.280000,89.070000,,108.290000,102.580000,26.872600,,17.605860,1.196000,2.411690,18.092320,11.210000,10.300000,24.090000,117.440270,10.260000,108.292240,8.630000,,13.255280,24.690000,101.167920,13.180000,,,,,9.450000,9.370000,149.125730,,,,8.640000,62.392940,9.080000,91.190000,13.554000,8.790000,10.112900,19.221430,2.803360,19.100000,24.930000,17.080000,125.000000,20.800660,,,10.540700,,,9.280000,13.060000,16.040000,33.950000,5560.970000,144.270000,,115.779910,107.889960,,,,66.467690,9.840000,,9.730000,,98.100000,10.050000,12.620000,152.130000,9.490000,175.030000,83.558270,117.153000,6.562760,8.770000,,92.295310,29.073100,,,72.151570,129.431610,,10.130000,8.880000,12.410000,9.430000,,,1.815090,118.100000,,24.357800,98.320000,,48.942500,119.932520,86.951960,48.065200,86.929270
2012-01-07,8.760000,10.306600,,,6.516490,,,,9.280000,89.070000,,108.290000,102.580000,26.872600,,17.605860,1.196000,2.411690,18.092320,11.210000,10.300000,24.090000,117.440270,10.260000,108.292240,8.630000,,13.255280,24.690000,101.167920,13.180000,,,,,9.450000,9.370000,149.125730,,,,8.640000,62.392940,9.080000,91.190000,13.554000,8.790000,10.112900,19.221430,2.803360,19.100000,24.930000,17.080000,125.000000,20.800660,,,10.540700,,,9.280000,13.060000,16.040000,33.950000,5560.970000,144.270000,,115.779910,107.889960,,,,66.467690,9.840000,,9.730000,,98.100000,10.050000,12.620000,152.130000,9.490000,175.030000,83.558270,117.153000,6.562760,8.770000,,92.295310,29.073100,,,72.151570,129.431610,,10.130000,8.880000,12.410000,9.430000,,,1.815090,118.100000,,24.357800,98.320000,,48.942500,119.932520,86.951960,48.065200,86.929270
2012-01-08,8.760000,10.306600,,,6.516490,,,,9.280000,89.070000,,108.290000,102.580000,26.872600,,17.605860,1.196000,2.411690,18.092320,11.210000,10.300000,24.090000,117.440270,10.260000,108.292240,8.630000,,13.255280,24.690000,101.167920,13.180000,,,,,9.450000,9.370000,149.125730,,,,8.640000,62.392940,9.080000,91.190000,13.554000,8.790000,10.112900,19.221430,2.803360,19.100000,24.930000,17.080000,125.000000,20.800660,,,10.540700,,,9.280000,13.060000,16.040000,33.950000,5560.970000,144.270000,,115.779910,107.889960,,,,66.467690,9.840000,,9.730000,,98.100000,10.050000,12.620000,152.130000,9.490000,175.030000,83.558270,117.153000,6.562760,8.770000,,92.295310,29.073100,,,72.151570,129.431610,,10.130000,8.880000,12.410000,9.430000,,,1.815090,118.100000,,24.357800,98.320000,,48.942500,119.932520,86.951960,48.065200,86.929270
2012-01-09,8.780000,10.312000,,,6.656880,,,,9.300000,89.160000,,108.310000,102.690000,26.872600,,17.598690,1.196300,2.452580,18.092320,11.230000,10.290000,24.100000,117.788290,10.250000,108.292240,8.650000,,13.260260,24.700000,101.167920,13.220000,,,,,9.480000,9.400000,150.486730,,,,8.660000,62.392940,9.100000,91.179000,13.549000,8.820000,10.116900,19.259860,2.816140,19.120000,24.960000,17.080000,124.950000,20.667770,,,10.548300,,,9.310000,13.090000,16.110000,34.030000,5568.480000,144.230000,,115.779910,107.889960,,,,66.467690,9.840000,,9.730000,,98.230000,10.070000,12.610000,152.190000,9.490000,175.040000,83.558270,117.230103,6.570260,8.790000,,92.418130,29.105300,,,72.151570,129.431610,,10.160000,8.900000,12.420000,9.440000,,,1.822160,118.330000,,24.366200,98.340000,,48.907100,119.932520,86.786200,48.126800,86.904850
2012-01-10,8.840000,10.378100,,,6.728890,,,,9.390000,90.310000,,109.440000,103.530000,26.872600,,17.740850,1.203700,2.464580,18.092320,11.310000,10.320000,24.310000,119.065400,10.320000,108.266080,8.720000,,13.378570,24.920000,101.028380,13.340000,,,,,9.560000,9.480000,150.767620,,,,8.740000,62.314500,9.170000,92.266000,13.669000,8.880000,10.181700,19.384230,2.839520,19.320000,25.210000,17.260000,126.300000,20.898290,,,10.612200,,,9.380000,13.190000,16.320000,34.340000,5621.600000,145.620000,,115.803180,107.589170,,,,66.388960,9.890000,,9.770000,,99.180000,10.150000,12.730000,153.910000,9.580000,176.800000,83.897420,118.457497,6.631780,8.860000,,93.214810,29.357300,,,72.103620,129.367350,,10.240000,8.970000,12.540000,9.490000,,,1.837750,119.220000,,24.610200,99.160000,,49.290800,119.877640,87.795480,48.562300,87.826630
